id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
4863,2023-03-13,2,23,30,10,35,2023-03-13 00:00:00.0000,2023-03-13 00:00:00.0000
4864,2023-03-14,22,15,18,30,24,2023-03-14 00:00:00.0000,2023-03-14 00:00:00.0000
4865,2023-03-15,15,26,33,25,9,2023-03-15 00:00:00.0000,2023-03-15 00:00:00.0000
4866,2023-03-16,21,38,25,10,37,2023-03-16 00:00:00.0000,2023-03-16 00:00:00.0000
4867,2023-03-17,27,5,11,32,17,2023-03-17 00:00:00.0000,2023-03-17 00:00:00.0000
4868,2023-03-18,7,3,30,37,22,2023-03-18 00:00:00.0000,2023-03-18 00:00:00.0000
4869,2023-03-20,20,18,37,10,5,2023-03-20 00:00:00.0000,2023-03-20 00:00:00.0000
4870,2023-03-21,38,3,12,16,22,2023-03-21 00:00:00.0000,2023-03-21 00:00:00.0000
4871,2023-03-22,37,5,17,2,27,2023-03-22 00:00:00.0000,2023-03-22 00:00:00.0000
4872,2023-03-23,36,38,33,12,5,2023-03-23 00:00:00.0000,2023-03-23 00:00:00.0000
4873,2023-03-24,8,19,37,27,34,2023-03-24 00:00:00.0000,2023-03-24 00:00:00.0000
4874,2023-03-25,35,24,6,33,10,2023-03-25 00:00:00.0000,2023-03-25 00:00:00.0000
4875,2023-03-27,32,39,6,10,11,2023-03-27 00:00:00.0000,2023-03-27 00:00:00.0000
4876,2023-03-28,5,9,10,32,2,2023-03-28 00:00:00.0000,2023-03-28 00:00:00.0000
4877,2023-03-29,37,36,32,39,16,2023-03-29 00:00:00.0000,2023-03-29 00:00:00.0000
4878,2023-03-30,13,7,25,18,39,2023-03-30 00:00:00.0000,2023-03-30 00:00:00.0000
4879,2023-03-31,26,27,2,35,21,2023-03-31 00:00:00.0000,2023-03-31 00:00:00.0000
4880,2023-04-01,9,10,16,26,21,2023-04-01 00:00:00.0000,2023-04-01 00:00:00.0000
4881,2023-04-03,23,33,6,22,7,2023-04-03 00:00:00.0000,2023-04-03 00:00:00.0000
4882,2023-04-04,31,38,13,27,2,2023-04-04 00:00:00.0000,2023-04-04 00:00:00.0000
4883,2023-04-05,31,6,21,38,3,2023-04-05 00:00:00.0000,2023-04-05 00:00:00.0000
4884,2023-04-06,37,9,39,24,11,2023-04-06 00:00:00.0000,2023-04-06 00:00:00.0000
4885,2023-04-07,31,39,36,16,10,2023-04-07 00:00:00.0000,2023-04-07 00:00:00.0000
4886,2023-04-08,27,18,8,20,31,2023-04-08 00:00:00.0000,2023-04-08 00:00:00.0000
4887,2023-04-10,6,30,34,36,25,2023-04-10 00:00:00.0000,2023-04-10 00:00:00.0000
4888,2023-04-11,38,6,5,1,37,2023-04-11 00:00:00.0000,2023-04-11 00:00:00.0000
4889,2023-04-12,17,4,37,11,10,2023-04-12 00:00:00.0000,2023-04-12 00:00:00.0000
4890,2023-04-13,13,29,18,26,24,2023-04-13 00:00:00.0000,2023-04-13 00:00:00.0000
4891,2023-04-14,3,17,5,36,31,2023-04-14 00:00:00.0000,2023-04-14 00:00:00.0000
4892,2023-04-15,37,17,1,9,31,2023-04-15 00:00:00.0000,2023-04-15 00:00:00.0000
