id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
63,2007-03-28,9,28,34,25,37,2007-03-28 00:00:00.0000,2007-03-28 00:00:00.0000
64,2007-03-29,27,23,8,29,22,2007-03-29 00:00:00.0000,2007-03-29 00:00:00.0000
65,2007-03-30,6,37,22,19,33,2007-03-30 00:00:00.0000,2007-03-30 00:00:00.0000
66,2007-04-02,7,1,33,35,21,2007-04-02 00:00:00.0000,2007-04-02 00:00:00.0000
67,2007-04-03,29,31,13,10,11,2007-04-03 00:00:00.0000,2007-04-03 00:00:00.0000
68,2007-04-04,34,30,1,19,35,2007-04-04 00:00:00.0000,2007-04-04 00:00:00.0000
69,2007-04-05,21,22,23,36,7,2007-04-05 00:00:00.0000,2007-04-05 00:00:00.0000
70,2007-04-06,4,12,7,33,34,2007-04-06 00:00:00.0000,2007-04-06 00:00:00.0000
71,2007-04-09,11,32,30,39,34,2007-04-09 00:00:00.0000,2007-04-09 00:00:00.0000
72,2007-04-10,8,9,30,39,6,2007-04-10 00:00:00.0000,2007-04-10 00:00:00.0000
73,2007-04-11,39,25,37,26,31,2007-04-11 00:00:00.0000,2007-04-11 00:00:00.0000
74,2007-04-12,25,11,1,9,17,2007-04-12 00:00:00.0000,2007-04-12 00:00:00.0000
75,2007-04-13,24,37,22,27,32,2007-04-13 00:00:00.0000,2007-04-13 00:00:00.0000
76,2007-04-16,14,28,36,18,26,2007-04-16 00:00:00.0000,2007-04-16 00:00:00.0000
77,2007-04-17,11,24,32,31,2,2007-04-17 00:00:00.0000,2007-04-17 00:00:00.0000
78,2007-04-18,22,39,3,38,12,2007-04-18 00:00:00.0000,2007-04-18 00:00:00.0000
79,2007-04-19,22,14,36,1,20,2007-04-19 00:00:00.0000,2007-04-19 00:00:00.0000
80,2007-04-20,6,3,22,37,39,2007-04-20 00:00:00.0000,2007-04-20 00:00:00.0000
81,2007-04-23,10,7,13,2,30,2007-04-23 00:00:00.0000,2007-04-23 00:00:00.0000
82,2007-04-24,9,4,1,16,6,2007-04-24 00:00:00.0000,2007-04-24 00:00:00.0000
