id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
4986,2023-08-03,3,9,12,30,33,2023-08-03 00:00:00.0000,2023-08-03 00:00:00.0000
4987,2023-08-04,7,16,20,35,38,2023-08-04 00:00:00.0000,2023-08-04 00:00:00.0000
4988,2023-08-05,4,9,10,15,34,2023-08-05 00:00:00.0000,2023-08-05 00:00:00.0000
4989,2023-08-06,8,14,29,32,34,2023-08-06 00:00:00.0000,2023-08-06 00:00:00.0000
4990,2023-08-07,7,10,19,28,29,2023-08-07 00:00:00.0000,2023-08-07 00:00:00.0000
4991,2023-08-08,7,10,19,28,29,2023-08-08 00:00:00.0000,2023-08-08 00:00:00.0000
4992,2023-08-09,3,12,15,30,39,2023-08-09 00:00:00.0000,2023-08-09 00:00:00.0000
4993,2023-08-10,1,13,14,30,38,2023-08-10 00:00:00.0000,2023-08-10 00:00:00.0000
